Mensagem,Genero
"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam
Well i know Z will take care of me. So no worries.,ham
"subscriber, you are selected to",spam
Still If you you wil...,ham
won't believe it but it's,spam
calls..messages..missed calls,ham
I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,ham
but we u would ask cos u gu...,ham
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam
Hey they r not watching movie tonight so i'll prob b home early...,ham
FROM O2: To 2.50 free,spam
numbers ending 5226 selected,spam
Mind more Tsunamis will,ham
I dont thnk its a wrong calling between us,ham
Ok lor...,ham
By the make u get train to,ham
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam
Still i have not checked it da. . .,ham
"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",spam
wil you here?,ham
many as u like no,spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,spam
"Arms fine, how's Cardiff and uni? ",ham
is waiting be collected....,spam
He didn't see his shadow. We get an early spring yay,ham
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,spam
SEX 30 secs? 02073162414...,spam
URGENT! You have week membership ...,spam
"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam
No calls..messages..missed calls,ham
New This week,spam
UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,spam
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
Of course ! Don't me ... I,ham
- Burns - = tried to...,spam
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
Ur cash-balance currently 500 -,spam
"cartoon, listening music",ham
Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,spam
Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,spam
"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",spam
"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.",spam
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
What you did leave.,ham
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
I don't know u don't me. CHAT ...,spam
How are we getting?,ham
Spoke with uncle today.,ham
What you doing?how are you?,ham
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam
A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:),ham
I keep ten my two egg.,ham
Dude just saw a parked car with its sunroof popped up. Sux,ham
We to contact U. dra...,spam
"K, I might come by tonight then if my class lets out early",ham
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No,ham
account been credited 500 T...,spam
URGENT! No awarded a B...,spam
PRIVATE! Account for,spam
OF JULY,ham
"Call me da, i am waiting for your call.",ham
"Call da, am for your",ham
HI R MOST TO BE BED BUT IM SO...,ham
"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",ham
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,spam
u been hiding stranger?,ham
"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",spam
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam
You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam
"Sorry, I'll you I meeting sir.",ham
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,spam
Well done Get poly,spam
FREE Motorola upto 12mths,spam
and done class?,ham
+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,spam
update: my dealer went to,ham
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam
Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,ham
YOU VE WON! Your 4* Costa Sol,spam
am and have been up for lik...,ham
"Sorry,in meeting I'll call later",ham
Yun buying... But school got offer 2000 plus only...,ham
They just thats it wont o...,ham
26th OF JULY,ham
FREE for No1 Nokia ur mobile ...,spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham
Tmr timin still da same wat cos i got lesson until 6...,ham
JADE ITS PAUL. Y DO U REMEMB...,ham
WIN year supply CDs 4 a store of,spam
